13.46.46:102	50c46d6a-67bb-11e7-93ce-902b3433e74a: Карта типа VISA выпуск
13.46.46:130	50c46d6a-67bb-11e7-93ce-902b3433e72a: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.46.46:157	50c46d6a-67bb-11e7-93ce-902b3433e72a: Запрос на печать пин-конверта сформирован
13.46.46:228	Карта типа VISA
13.46.46:403	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.46.46:431	50c46d6a-67bb-11e7-93ce-902b3433e73a: Карта типа VISA выпуск
13.46.46:453	50c46d6a-67bb-11e7-93ce-902b3433e71a: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.46.46:539	50c46d6a-67bb-11e7-93ce-902b3433e72a: Карта типа VISA выпуск
13.46.48:377	50c46d6a-67bb-11e7-93ce-902b3433e71a: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.46.48:397	50c46d6a-67bb-11e7-93ce-902b3433e71a: Запрос на печать пин-конверта сформирован
13.46.48:467	Карта типа VISA
13.46.48:632	50c46d6a-67bb-11e7-93ce-902b3433e7d9: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.46.50:408	Печать пина для карты 127.0.0.1:1604
13.46.50:440	50c46d6a-67bb-11e7-93ce-902b3433e7d9: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.46.50:458	50c46d6a-67bb-11e7-93ce-902b3433e7d9: Запрос на печать пин-конверта сформирован
13.46.50:525	Карта типа VISA
13.46.50:674	50c46d6a-67bb-11e7-93ce-902b3433e7d8: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.46.51:438	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.46.51:635	50c46d6a-67bb-11e7-93ce-902b3433e71a: Карта типа VISA выпуск
13.46.51:700	50c46d6a-67bb-11e7-93ce-902b3433e7d9: Карта типа VISA выпуск
13.46.53:934	50c46d6a-67bb-11e7-93ce-902b3433e7d8: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.46.53:953	50c46d6a-67bb-11e7-93ce-902b3433e7d8: Запрос на печать пин-конверта сформирован
13.46.54:014	Карта типа VISA
13.46.54:185	50c46d6a-67bb-11e7-93ce-902b3433e7d7: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.46.55:473	Печать пина для карты 127.0.0.1:1604
13.46.55:900	50c46d6a-67bb-11e7-93ce-902b3433e7d7: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.46.55:919	50c46d6a-67bb-11e7-93ce-902b3433e7d7: Запрос на печать пин-конверта сформирован
13.46.55:982	Карта типа VISA
13.46.56:141	50c46d6a-67bb-11e7-93ce-902b3433e7d6: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.46.56:574	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.46.56:920	50c46d6a-67bb-11e7-93ce-902b3433e7d8: Карта типа VISA выпуск
13.46.57:047	50c46d6a-67bb-11e7-93ce-902b3433e7d7: Карта типа VISA выпуск
13.46.57:923	50c46d6a-67bb-11e7-93ce-902b3433e7d6: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.46.57:943	50c46d6a-67bb-11e7-93ce-902b3433e7d6: Запрос на печать пин-конверта сформирован
13.46.58:010	Карта типа VISA
